symbol,name,report_date,pub_date,year,quarter,roe,net_margin,gross_margin,net_profit,eps,revenue,debt_ratio,source
688120,,2026-03-31,2026-04-23,2026,1,0.0326,0.2058,0.4231,247304870.48,3.1037,,0.8844,baostock
688126,,2026-03-31,2026-04-30,2026,1,-0.0286,-0.4872,-0.1185,-528126450.94,-0.5392,,0.8167,baostock
688200,,2026-03-31,2026-04-29,2026,1,0.0228,0.3444,0.753,93620711.44,4.1936,,7.9936,baostock
688256,,2026-03-31,2026-04-30,2026,1,0.082,0.3512,0.5433,1013125012.86,6.4431,,2.673,baostock
688313,,2026-03-31,2026-04-18,2026,1,0.0724,0.2015,0.3413,116175902.84,0.8744,,0.3045,baostock
688525,,2026-03-31,2026-04-16,2026,1,0.4156,0.4222,0.533,2877141550.24,8.3883,,0.3979,baostock
688981,,2026-03-31,2026-05-15,2026,1,0.0091,0.0905,0.2148,1593998000.0,0.6306,,0.9672,baostock
600519,,2026-03-31,2026-03-31,2026,4,0.105687,0.522245,0.897592,28153831489.890000,66.052123,,,snapshot
000034,神州数码,2025-12-31,2026-04-30,2025,4,5.05,,3.397598356700,,0.7711,,79.366636578400,mxdata
000063,中兴通讯,2025-12-31,2026-04-30,2025,4,7.58,,30.250571602700,,1.17,,65.260651179900,mxdata
000333,美的集团,2025-12-31,2026-04-30,2025,4,19.7,,26.391005843300,,5.8,,61.165009744900,mxdata
000400,许继电气,2025-12-31,2026-04-30,2025,4,9.94,,23.357208033400,,1.1531,,49.030664739300,mxdata
000533,顺钠股份,2025-12-31,2026-04-30,2025,4,11.1,,20.993147851100,,0.1476,,60.915485508400,mxdata
000620,盈新发展,2025-12-31,2026-04-30,2025,4,-27.05,,9.766420886200,,-0.2,,61.628969629500,mxdata
000636,风华高科,2025-12-31,2026-04-30,2025,4,2.29,,17.747831113300,,0.25,,23.628567511100,mxdata
000681,视觉中国,2025-12-31,2026-04-30,2025,4,2.31,,41.678909296300,,0.1188,,16.035167574900,mxdata
000792,盐湖股份,2025-12-31,2026-04-30,2025,4,22.3,,57.855135463900,,1.6017,,14.153183943300,mxdata
000880,潍柴重机,2025-12-31,2026-04-30,2025,4,9.94,,10.140121361500,,0.52,,74.829300707100,mxdata
001309,德明利,2025-12-31,2026-04-30,2025,4,24.21,,14.80828098100,,3.08,,69.867818750400,mxdata
002028,思源电气,2025-12-31,2026-04-30,2025,4,22.63,,30.774799964900,,4.04,,47.048266697700,mxdata
002050,三花智控,2025-12-31,2026-04-30,2025,4,15.8,,28.776992712900,,1.03,,35.149283882300,mxdata
002063,远光软件,2025-12-31,2026-04-30,2025,4,7.88,,50.28299115800,,0.1574,,15.346168611600,mxdata
002080,中材科技,2025-12-31,2026-04-30,2025,4,9.49,,18.931672779200,,1.0832,,56.790950400,mxdata
002090,金智科技,2025-12-31,2026-04-30,2025,4,4.32,,27.537130277200,,0.1648,,51.271401024300,mxdata
002129,TCL中环,2025-12-31,2026-04-30,2025,4,-35.2,,-6.359182382500,,-2.319,,66.728821959700,mxdata
002130,沃尔核材,2025-12-31,2026-04-30,2025,4,19.05,,31.653106929500,,,,44.764028962300,mxdata
002063,远光软件,2025-12-31,2026-04-30,2025,4,0.27,,45.434236101300,,0.0057,,13.657227803800,mxdata
002080,中材科技,2025-12-31,2026-04-30,2025,4,2.51,,20.942421366700,,0.3024,,56.324509948400,mxdata
002090,金智科技,2025-12-31,2026-04-30,2025,4,1.41,,28.341317896900,,0.0546,,48.051673887400,mxdata
002129,TCL中环,2025-12-31,2026-04-30,2025,4,-7.81,,-8.639945621200,,-0.4119,,68.187898466500,mxdata
002130,沃尔核材,2025-12-31,2026-04-30,2025,4,2.6,,30.461646263900,,,,35.825846367800,mxdata
002179,中航光电,2025-12-31,2026-04-30,2025,4,1.63,,27.996145835200,,0.1901,,35.109763591800,mxdata
002185,华天科技,2025-12-31,2026-04-30,2025,4,0.485786159700,,11.324118641100,,0.0266,,52.208929090200,mxdata
002179,中航光电,2025-12-31,2026-04-30,2025,4,9.16,,29.190677142300,,1.0238,,38.540049488900,mxdata
002185,华天科技,2025-12-31,2026-04-30,2025,4,0.950239822200,,13.25872098500,,0.22,,50.177209008200,mxdata
002212,天融信,2025-12-31,2026-04-30,2025,4,-1.05,,56.595763839500,,-0.0854,,14.808818389700,mxdata
002223,鱼跃医疗,2025-12-31,2026-04-30,2025,4,3.185667431600,,50.211729637700,,0.4291,,18.504587175400,mxdata
002212,天融信,2025-12-31,2026-04-30,2025,4,0.77,,66.302671605800,,0.0643,,14.244456988700,mxdata
002223,鱼跃医疗,2025-12-31,2026-04-30,2025,4,0.117713503800,,50.596717921100,,1.48,,16.967262810200,mxdata
002261,拓维信息,2025-12-31,2026-04-30,2025,4,2.39,,17.212927323500,,0.0488,,35.615133080600,mxdata
002364,中恒电气,2025-12-31,2026-04-30,2025,4,1.002077508100,,25.667792519300,,0.04,,43.86565133900,mxdata
002288,*ST超华,2025-12-31,2026-04-30,2025,4,-6.01,,-52.005949897800,,,,71.174693752700,mxdata
002364,中恒电气,2025-12-31,2026-04-30,2025,4,2.198202415900,,24.84222509900,,0.22,,40.825009617300,mxdata
002373,千方科技,2025-12-31,2026-04-30,2025,4,0.692200730500,,31.204206108700,,0.17,,33.557678501200,mxdata
002384,东山精密,2025-12-31,2026-04-30,2025,4,6.89,,14.086502119200,,0.79,,63.980672561300,mxdata
002396,星网锐捷,2025-12-31,2026-04-30,2025,4,6.01,,32.241028098800,,0.7059,,42.365823522100,mxdata
002400,省广集团,2025-12-31,2026-04-30,2025,4,1.81,,5.847928511800,,0.0516,,61.525507873300,mxdata
002405,四维图新,2025-12-31,2026-04-30,2025,4,1.17,,24.72857220200,,0.0443,,23.190314047100,mxdata
002373,千方科技,2025-12-31,2026-04-30,2025,4,0.032426065100,,38.095932051400,,,,32.235885368200,mxdata
002384,东山精密,2025-12-31,2026-04-30,2025,4,5.05,,19.327535799300,,0.61,,63.68875137100,mxdata
002396,星网锐捷,2025-12-31,2026-04-30,2025,4,0.53,,31.920754094100,,0.0641,,39.541670808600,mxdata
002400,省广集团,2025-12-31,2026-04-30,2025,4,0.31,,6.079555109400,,0.0088,,59.60802764100,mxdata
002405,四维图新,2025-12-31,2026-04-30,2025,4,-1.63,,29.360970140500,,-0.0619,,25.688626258300,mxdata
002415,海康威视,2025-12-31,2026-04-30,2025,4,17.3,,45.877603102200,,1.546,,33.924598990500,mxdata
002421,达实智能,2025-12-31,2026-04-30,2025,4,-21.33,,20.256850748800,,-0.308,,62.903905980900,mxdata
002422,科伦药业,2025-12-31,2026-04-30,2025,4,7.24,,47.845947883700,,1.07,,26.461595112400,mxdata
002436,兴森科技,2025-12-31,2026-04-30,2025,4,2.6,,19.570676407600,,0.08,,61.917428286200,mxdata
002439,启明星辰,2025-12-31,2026-04-30,2025,4,-5.14,,58.270424508300,,-0.4713,,16.660562220200,mxdata
002463,沪电股份,2025-12-31,2026-04-30,2025,4,7.602868762900,,35.475561400,,1.9875,,46.45735134400,mxdata
002472,双环传动,2025-12-31,2026-04-30,2025,4,13.36,,27.336223277800,,1.5,,43.984311211500,mxdata
002475,立讯精密,2025-12-31,2026-04-30,2025,4,21.1,,11.911898328200,,2.29,,66.066085510400,mxdata
002517,恺英网络,2025-12-31,2026-04-30,2025,4,23.13,,80.840065054100,,0.89,,24.273472074100,mxdata
