symbol,date,net_main_force,net_super_large,net_large,net_medium,net_small,days_inflow,days_outflow
000400,20260702,-28800000.0,-9510000.0,-19290000.0,0.0,27880000.0,0,0
000400,20260701,-31970000.0,-49090000.0,17120000.0,0.0,21950000.0,0,0
000400,20260707 12:08,-11850000.0,-8643000.0,-3208000.0,-3266000.0,15120000.0,0,0
000533,20260706,4113000.0,1509000.0,2604000.0,0.0,-13470000.0,0,0
000533,20260703,6129000.0,45970.00000000001,6084000.0,0.0,553600.0,0,0
000533,20260702,-4299000.0,-5270000.0,970699.9999999999,0.0,9628000.0,0,0
000533,20260701,-5792000.0,3588000.0,-9380000.0,0.0,249800.0,0,0
000533,20260707 12:08,-14160000.0,-6797000.0,-7364000.0,-4543000.0,18700000.0,0,0
000620,20260706,-99340000.0,-5189000.0,-94150000.0,0.0,83230000.0,0,0
000620,20260703,-169300000.0,-90820000.0,-78490000.0,0.0,119300000.0,0,0
000620,20260702,-160100000.0,-176200000.0,16170000.0,0.0,97130000.0,0,0
000620,20260701,52210000.0,158300000.0,-106100000.0,0.0,-18560000.0,0,0
000620,20260707 12:08,-26320000.0,-19150000.0,-7177000.0,-18440000.0,44760000.0,0,0
000400,20260707 12:40,-11850000.0,-8643000.0,-3208000.0,-3266000.0,15120000.0,0,0
000533,20260707 12:40,-14160000.0,-6797000.0,-7364000.0,-4543000.0,18700000.0,0,0
000620,20260707 12:40,-26320000.0,-19150000.0,-7177000.0,-18440000.0,44760000.0,0,0
000636,20260706,-368900000.0,-237200000.0,-131700000.0,0.0,404800000.0,0,0
000636,20260703,-3634000.0,-52610000.0,48980000.0,0.0,218900000.0,0,0
000636,20260702,-498800000.00000006,-441099999.99999994,-57650000.0,0.0,482400000.0,0,0
000636,20260701,-36920000.0,-90240000.0,53320000.0,0.0,110300000.0,0,0
000636,20260707 12:40,61780000.0,22090000.0,39690000.0,26850000.0,-88630000.0,0,0
000681,20260706,-141700000.0,-48350000.0,-93350000.0,0.0,132400000.0,0,0
000681,20260703,-103000000.0,-72220000.0,-30750000.0,0.0,81470000.0,0,0
000681,20260702,58670000.0,13040000.0,45620000.0,0.0,-49380000.0,0,0
000681,20260701,57780000.0,19090000.0,38690000.0,0.0,-61800000.0,0,0
000681,20260707 12:41,-9070000.0,787000.0,-9857000.0,-2937000.0,12010000.0,0,0
000880,20260706,22140000.0,20800000.0,1333000.0,0.0,-48340000.0,0,0
000880,20260703,23370000.0,7146000.0,16230000.0,0.0,-15810000.0,0,0
000880,20260702,-11360000.0,-6105000.0,-5253000.0,0.0,15910000.0,0,0
000880,20260701,874400.0,-2448000.0,3323000.0,0.0,7290000.0,0,0
000880,20260707 12:41,-10450000.0,-77520.0,-10380000.0,-4690000.0,15140000.0,0,0
000938,20260706,1572000000.0,1423000000.0,149100000.0,0.0,-1011999999.9999999,0,0
