symbol,date,margin_buy,margin_repay,margin_balance,margin_ratio,sec_lending_volume,sec_lending_balance
000300,20260705,300000000,280000000,5000000000,,,100000000
000034,20260706,279980571.0,260016489.0,1869467156.0,0.0,5700.0,16690330.0
000034,20260703,181981125.0,165059962.0,1849503074.0,0.0,4900.0,16044151.0
000034,20260702,244793007.0,154374887.0,1832581911.0,0.0,7700.0,15770826.0
000034,20260701,145775125.0,142830427.0,1742163791.0,0.0,3700.0,15959443.0
000034,20260630,120109725.0,162189438.0,1739219093.0,0.0,200.0,16041165.0
000063,20260706,672229240.0,605097928.0,10120351075.0,0.0,22200.0,17588544.0
000063,20260703,745689006.0,762855515.0,10053219763.0,0.0,66500.0,19848928.0
000063,20260702,799362352.0,872014225.0,10070386272.0,0.0,84600.0,17808344.0
000063,20260701,1080618168.0,1146447072.0,10143038145.0,0.0,107100.0,19017570.0
000063,20260630,547885220.0,578181345.0,10208867049.0,0.0,58700.0,16535211.0
000333,20260706,196521007.0,207106005.0,4285584275.0,0.0,31100.0,182202320.0
000333,20260703,184063752.0,249724765.0,4296169273.0,0.0,71400.0,176963665.0
000333,20260702,230385542.0,204986151.0,4361830286.0,0.0,51000.0,172327510.0
000333,20260701,273968219.0,287979864.0,4336430895.0,0.0,53400.0,170529924.0
000333,20260630,229378814.0,268210465.0,4350442540.0,0.0,44400.0,167452201.0
000400,20260706,23311798.0,25831244.0,993955975.0,0.0,500.0,6069125.0
000400,20260703,23164928.0,28628593.0,996475421.0,0.0,29600.0,8296523.0
000400,20260702,24529899.0,32250873.0,1001939086.0,0.0,20600.0,8008816.0
000400,20260701,48363959.0,49700335.0,1009660060.0,0.0,28500.0,7970374.0
000400,20260630,16016440.0,31301565.0,1010996436.0,0.0,12400.0,7896630.0
000533,20260706,11339737.0,15896397.0,190992176.0,0.0,0.0,342062.0
000533,20260703,13312659.0,18282706.0,195548836.0,0.0,0.0,350966.0
000533,20260702,13591632.0,17192161.0,200518883.0,0.0,0.0,345030.0
000533,20260701,26329102.0,19632591.0,204119412.0,0.0,0.0,353563.0
000533,20260630,16195817.0,21867277.0,197422901.0,0.0,200.0,353772.0
000636,20260706,524257011.0,568393447.0,3341444315.0,0.0,24900.0,14613768.0
000636,20260703,639852448.0,779124535.0,3385580751.0,0.0,75200.0,21998223.0
000636,20260702,550144806.0,588192458.0,3524852838.0,0.0,70800.0,21226856.0
000636,20260701,1112002221.0,746139136.0,3562900490.0,0.0,31000.0,19299955.0
000636,20260630,300352248.0,365555645.0,3197037405.0,0.0,10500.0,23774762.0
000681,20260706,50476525.0,69693394.0,870587278.0,0.0,3400.0,4349434.0
000681,20260703,73323963.0,87532268.0,889804147.0,0.0,88700.0,5200424.0
000681,20260702,95705223.0,73809977.0,904012452.0,0.0,26300.0,3859124.0
000681,20260701,68611144.0,62785063.0,882117206.0,0.0,15500.0,3353151.0
000681,20260630,56260382.0,54908289.0,876291125.0,0.0,19800.0,3153990.0
000792,20260706,264753621.0,302073873.0,6182386385.0,0.0,39300.0,13626844.0
000792,20260703,498723944.0,302104645.0,6219706637.0,0.0,125900.0,13745499.0
000792,20260702,304442412.0,259508873.0,6023087338.0,0.0,23600.0,10861028.0
000792,20260701,386059785.0,343044979.0,5978153799.0,0.0,30900.0,10762208.0
000792,20260630,248970219.0,274156958.0,5935138993.0,0.0,18300.0,10194408.0
000880,20260706,21239786.0,27437326.0,274565894.0,0.0,900.0,2337660.0
000880,20260703,14467187.0,19588320.0,280763434.0,0.0,2900.0,2233588.0
000880,20260702,8487907.0,11311606.0,285884567.0,0.0,1200.0,2137379.0
000880,20260701,20209279.0,20851477.0,288708266.0,0.0,6000.0,2208378.0
000880,20260630,14703297.0,20832020.0,289350464.0,0.0,2300.0,2075502.0
000938,20260706,945886843.0,925784530.0,4246415183.0,0.0,72600.0,9503343.0
